scenarioName,seriesName,period,value
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2031,372.33998569365804
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2032,385.166744218726
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2033,398.224614738255
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2034,411.457709727699
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2035,424.76161479887696
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2036,438.12862011423
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2037,451.688048023087
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2038,465.408756840829
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2039,479.131038171217
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2040,492.82842383310606
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2041,496.364725948745
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2042,514.5200138075301
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2043,530.174054046269
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2044,544.194953147223
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2045,558.2696280256221
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2046,572.3885232650711
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2047,586.532941394383
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2048,600.687958642994
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2049,614.823878307341
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-APT,2050,628.931521640323
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2018,766.351721
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2019,805.7091634662056
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2020,818.7921361419114
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2021,828.233482651788
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2022,837.7121174810828
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2023,847.4459625924114
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2024,857.226609911819
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2025,866.692881831616
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2026,876.4531778238049
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2027,886.301847697887
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2028,896.788684224216
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2029,907.4139723498231
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2030,918.024151102848
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2031,926.062334890127
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2032,935.422494199529
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2033,944.786240823158
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2034,954.0195277880989
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2035,962.890220866885
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2036,971.40101477561
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2037,979.851843083148
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2038,988.176660589143
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2039,996.047672371682
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2040,1003.43540212397
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2041,1003.61497030569
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2042,1009.1830944926099
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2043,1016.05596064786
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2044,1022.6819321704
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2045,1029.04808784398
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2046,1035.14898193112
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2047,1040.96347650991
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2048,1046.47869262623
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2049,1051.657559210501
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-ATT,2050,1056.50027926231
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2018,724.429729
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2019,756.9326568667473
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2020,768.2944648180236
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2021,772.8620869458479
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2022,777.951943525678
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2023,783.6726986414823
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2024,789.7593026825044
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2025,795.8253708589679
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2026,802.387750067158
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2027,809.222134165514
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2028,816.801133474578
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2029,824.6442865831169
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2030,832.593378929755
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2031,835.494721776652
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2032,841.1238690159171
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2033,846.6849039481999
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2034,852.057507895048
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2035,857.0356913323401
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2036,861.6246171473811
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2037,866.092174186522
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2038,870.38020137633
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2039,874.2016329540311
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2040,877.53441615507
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2041,877.715659652408
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2042,877.8711200652181
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2043,878.89535131181
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2044,881.345225057196
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2045,883.5115341969749
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2046,885.391653844896
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2047,886.9696816154
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2048,888.23702563618
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2049,889.164835474982
Mitigation_CAP21_A40E57-LED-techOptimism,DMD_RSD-BLD-DET,2050,889.756171088248
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2018,206.798885
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2019,227.3336796670469
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2020,234.01489904006482
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2021,250.5224304023637
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2022,265.4727389932386
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2023,279.2364387661056
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2024,291.9775893446405
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2025,303.745747309416
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2026,314.88867210903703
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2027,325.448418136599
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2028,335.721382301206
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2029,345.60194314472005
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2030,355.09166996739805
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2031,372.33998569365804
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2032,385.166744218726
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2033,398.224614738255
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2034,411.457709727699
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2035,424.76161479887696
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2036,438.12862011423
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2037,451.688048023087
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2038,465.408756840829
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2039,479.131038171217
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2040,492.82842383310606
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2041,496.364725948745
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2042,514.5200138075301
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2043,530.174054046269
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2044,544.194953147223
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2045,558.2696280256221
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2046,572.3885232650711
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2047,586.532941394383
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2048,600.687958642994
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2049,614.823878307341
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-APT,2050,628.931521640323
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2018,766.351721
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2019,805.7091634662056
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2020,818.7921361419114
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2021,828.233482651788
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2022,837.7121174810828
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2023,847.4459625924114
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2024,857.226609911819
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2025,866.692881831616
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2026,876.4531778238049
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2027,886.301847697887
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2028,896.788684224216
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2029,907.4139723498231
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2030,918.024151102848
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2031,926.062334890127
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2032,935.422494199529
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2033,944.786240823158
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2034,954.0195277880989
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2035,962.890220866885
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2036,971.40101477561
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2037,979.851843083148
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2038,988.176660589143
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2039,996.047672371682
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2040,1003.43540212397
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2041,1003.61497030569
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2042,1009.1830944926099
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2043,1016.05596064786
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2044,1022.6819321704
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2045,1029.04808784398
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2046,1035.14898193112
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2047,1040.96347650991
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2048,1046.47869262623
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2049,1051.657559210501
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-ATT,2050,1056.50027926231
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2018,724.429729
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2019,756.9326568667473
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2020,768.2944648180236
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2021,772.8620869458479
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2022,777.951943525678
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2023,783.6726986414823
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2024,789.7593026825044
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2025,795.8253708589679
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2026,802.387750067158
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2027,809.222134165514
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2028,816.801133474578
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2029,824.6442865831169
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2030,832.593378929755
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2031,835.494721776652
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2032,841.1238690159171
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2033,846.6849039481999
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2034,852.057507895048
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2035,857.0356913323401
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2036,861.6246171473811
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2037,866.092174186522
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2038,870.38020137633
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2039,874.2016329540311
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2040,877.53441615507
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2041,877.715659652408
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2042,877.8711200652181
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2043,878.89535131181
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2044,881.345225057196
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2045,883.5115341969749
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2046,885.391653844896
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2047,886.9696816154
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2048,888.23702563618
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2049,889.164835474982
Mitigation_CAP21_A40E57-earlyCCS,DMD_RSD-BLD-DET,2050,889.756171088248
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2018,206.798885
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2019,227.3336796670469
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2020,234.01489904006482
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2021,250.5224304023637
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2022,265.4727389932386
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2023,279.2364387661056
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2024,291.9775893446405
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2025,303.745747309416
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2026,314.88867210903703
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2027,325.448418136599
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2028,335.721382301206
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2029,345.60194314472005
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2030,355.09166996739805
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2031,372.33998569365804
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2032,385.166744218726
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2033,398.224614738255
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2034,411.457709727699
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2035,424.76161479887696
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2036,438.12862011423
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2037,451.688048023087
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2038,465.408756840829
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2039,479.131038171217
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2040,492.82842383310606
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2041,496.364725948745
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2042,514.5200138075301
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2043,530.174054046269
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2044,544.194953147223
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2045,558.2696280256221
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2046,572.3885232650711
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2047,586.532941394383
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2048,600.687958642994
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2049,614.823878307341
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-APT,2050,628.931521640323
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2018,766.351721
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2019,805.7091634662056
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2020,818.7921361419114
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2021,828.233482651788
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2022,837.7121174810828
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2023,847.4459625924114
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2024,857.226609911819
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2025,866.692881831616
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2026,876.4531778238049
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2027,886.301847697887
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2028,896.788684224216
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2029,907.4139723498231
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2030,918.024151102848
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2031,926.062334890127
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2032,935.422494199529
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2033,944.786240823158
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2034,954.0195277880989
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2035,962.890220866885
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2036,971.40101477561
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2037,979.851843083148
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2038,988.176660589143
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2039,996.047672371682
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2040,1003.43540212397
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2041,1003.61497030569
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2042,1009.1830944926099
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2043,1016.05596064786
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2044,1022.6819321704
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2045,1029.04808784398
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2046,1035.14898193112
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2047,1040.96347650991
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2048,1046.47869262623
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2049,1051.657559210501
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-ATT,2050,1056.50027926231
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2018,724.429729
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2019,756.9326568667473
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2020,768.2944648180236
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2021,772.8620869458479
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2022,777.951943525678
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2023,783.6726986414823
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2024,789.7593026825044
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2025,795.8253708589679
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2026,802.387750067158
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2027,809.222134165514
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2028,816.801133474578
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2029,824.6442865831169
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2030,832.593378929755
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2031,835.494721776652
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2032,841.1238690159171
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2033,846.6849039481999
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2034,852.057507895048
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2035,857.0356913323401
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2036,861.6246171473811
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2037,866.092174186522
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2038,870.38020137633
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2039,874.2016329540311
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2040,877.53441615507
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2041,877.715659652408
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2042,877.8711200652181
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2043,878.89535131181
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2044,881.345225057196
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2045,883.5115341969749
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2046,885.391653844896
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2047,886.9696816154
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2048,888.23702563618
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2049,889.164835474982
Mitigation_CAP21_A40E57-highREN,DMD_RSD-BLD-DET,2050,889.756171088248
Mitigation_CAP21_A40E57-lowBio,DMD_RSD-BLD-APT,2018,206.798885
Mitigation_CAP21_A40E57-lowBio,DMD_RSD-BLD-APT,2019,227.3336796670469
Mitigation_CAP21_A40E57-lowBio,DMD_RSD-BLD-APT,2020,234.01489904006482
Mitigation_CAP21_A40E57-lowBio,DMD_RSD-BLD-APT,2021,250.5224304023637
Mitigation_CAP21_A40E57-lowBio,DMD_RSD-BLD-APT,2022,265.4727389932386
